loan_amnt,term_months,int_rate,installment,annual_inc,dti,fico_range_low,open_acc,revol_util,total_acc,grade,home_ownership,purpose,verification_status,emp_length,loan_to_income,installment_to_income,defaulted
3600.0,36.0,13.99,123.03,55000.0,5.91,675.0,7.0,29.7,13.0,C,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.0655,0.0268,0
24700.0,36.0,11.99,820.28,65000.0,16.06,715.0,22.0,19.2,38.0,C,MORTGAGE,small_business,Not Verified,10_plus,0.38,0.1514,0
20000.0,60.0,10.78,432.66,63000.0,10.78,695.0,6.0,56.2,18.0,B,MORTGAGE,home_improvement,Not Verified,10_plus,0.3175,0.0824,0
10400.0,60.0,22.45,289.91,104433.0,25.37,695.0,12.0,64.5,35.0,F,MORTGAGE,major_purchase,Source Verified,3,0.0996,0.0333,0
11950.0,36.0,13.44,405.18,34000.0,10.2,690.0,5.0,68.4,6.0,C,RENT,debt_consolidation,Source Verified,4,0.3515,0.143,0
20000.0,36.0,9.17,637.58,180000.0,14.67,680.0,12.0,84.5,27.0,B,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.1111,0.0425,0
20000.0,36.0,8.49,631.26,85000.0,17.61,705.0,8.0,5.7,15.0,B,MORTGAGE,major_purchase,Not Verified,10_plus,0.2353,0.0891,0
10000.0,36.0,6.49,306.45,85000.0,13.07,685.0,14.0,34.5,23.0,A,RENT,credit_card,Not Verified,6,0.1176,0.0433,0
8000.0,36.0,11.48,263.74,42000.0,34.8,700.0,8.0,39.1,18.0,B,MORTGAGE,credit_card,Not Verified,10_plus,0.1905,0.0754,0
1400.0,36.0,12.88,47.1,64000.0,34.95,700.0,17.0,67.2,24.0,C,MORTGAGE,other,Not Verified,3,0.0219,0.0088,0
18000.0,60.0,19.48,471.7,150000.0,9.39,665.0,18.0,40.7,27.0,E,RENT,debt_consolidation,Not Verified,7,0.12,0.0377,1
28000.0,36.0,6.49,858.05,92000.0,21.6,720.0,16.0,64.5,24.0,A,MORTGAGE,debt_consolidation,Not Verified,10_plus,0.3043,0.1119,0
