annual_income,loan_amount,credit_score,employment_years,dti_ratio,age,num_credit_lines,savings_balance,loan_purpose,home_ownership,education,loan_to_income,savings_to_loan,approved
62100,105500,806,4,37.0,53,6,1620,debt_consolidation,mortgage,high_school,1.699,0.015,1
33900,53500,785,4,31.7,45,7,500,debt_consolidation,mortgage,some_college,1.578,0.009,0
75900,48900,749,12,20.2,28,7,2280,home_improvement,rent,graduate,0.644,0.047,1
82700,17700,834,23,13.8,42,2,1660,home_improvement,mortgage,some_college,0.214,0.094,1
22500,28600,562,6,36.2,47,4,5210,other,rent,high_school,1.271,0.182,0
30200,74800,801,4,47.9,27,4,2240,medical,mortgage,high_school,2.477,0.03,0
57400,54400,600,8,26.5,41,3,650,debt_consolidation,rent,graduate,0.948,0.012,1
47000,63100,637,6,37.9,18,9,1420,education,own,bachelors,1.343,0.023,0
53800,123900,732,8,45.4,35,4,440,debt_consolidation,own,bachelors,2.303,0.004,1
36900,26100,789,7,15.8,43,4,24150,debt_consolidation,own,some_college,0.707,0.925,1
80500,50800,586,7,13.5,43,5,30240,home_improvement,mortgage,some_college,0.631,0.595,1
76900,68300,641,0,26.5,55,1,35830,home_improvement,rent,some_college,0.888,0.525,1
55800,36600,693,4,16.9,38,3,2150,debt_consolidation,mortgage,bachelors,0.656,0.059,1
90000,163100,669,4,42.5,33,4,30210,home_improvement,rent,some_college,1.812,0.185,0
66900,113100,757,4,37.6,23,3,8690,other,rent,some_college,1.691,0.077,1
36800,73400,720,10,51.1,33,3,1550,major_purchase,mortgage,some_college,1.995,0.021,0
64000,210200,622,2,65.0,45,3,2040,debt_consolidation,rent,bachelors,3.284,0.01,0
35200,21000,574,0,15.5,46,3,3860,other,rent,high_school,0.597,0.184,0
80400,59600,657,4,20.1,40,5,5670,debt_consolidation,own,some_college,0.741,0.095,1
53000,77400,605,3,37.4,44,2,8170,debt_consolidation,mortgage,some_college,1.46,0.106,0
49900,31600,724,6,15.1,52,1,4900,debt_consolidation,mortgage,graduate,0.633,0.155,1
39900,73900,723,3,46.1,38,5,3020,debt_consolidation,mortgage,some_college,1.852,0.041,0
93900,27600,645,5,12.3,53,6,32630,debt_consolidation,mortgage,bachelors,0.294,1.182,1
50500,97100,622,4,45.8,30,9,4190,debt_consolidation,mortgage,some_college,1.923,0.043,0
44700,125600,674,15,57.8,37,2,3870,home_improvement,mortgage,bachelors,2.81,0.031,0
46200,72400,739,3,34.1,32,4,3630,debt_consolidation,mortgage,graduate,1.567,0.05,1
68800,16400,760,9,9.5,46,4,4190,debt_consolidation,mortgage,high_school,0.238,0.255,1
63900,30400,793,6,23.5,26,5,730,major_purchase,rent,high_school,0.476,0.024,1
65200,88900,721,12,31.4,34,5,1210,home_improvement,own,bachelors,1.363,0.014,1
65800,60800,774,18,37.0,44,4,150900,major_purchase,own,bachelors,0.924,2.482,1
142000,9100,628,6,9.8,51,4,490,debt_consolidation,mortgage,some_college,0.064,0.054,1
45100,142900,763,1,61.6,48,3,7190,medical,mortgage,some_college,3.169,0.05,0
43000,65900,761,2,29.2,46,0,7940,other,mortgage,bachelors,1.533,0.12,1
37600,33700,813,1,29.1,47,5,20290,debt_consolidation,rent,bachelors,0.896,0.602,1
71500,120100,543,4,37.5,45,5,8210,major_purchase,mortgage,some_college,1.68,0.068,0
90000,37300,607,3,18.8,44,3,69370,medical,rent,some_college,0.414,1.86,1
51500,37000,754,7,30.2,45,6,6870,home_improvement,mortgage,graduate,0.718,0.186,1
37100,76900,459,12,48.0,30,6,32440,debt_consolidation,mortgage,some_college,2.073,0.422,0
37400,208300,726,1,65.0,35,2,21080,debt_consolidation,mortgage,high_school,5.57,0.101,0
72600,186600,775,6,59.2,38,6,42560,major_purchase,rent,graduate,2.57,0.228,0
75700,77000,636,3,29.5,34,8,5090,home_improvement,rent,bachelors,1.017,0.066,0
69200,82800,648,6,24.5,20,3,8580,education,rent,some_college,1.197,0.104,1
40200,104200,593,4,60.0,24,6,2930,debt_consolidation,mortgage,bachelors,2.592,0.028,0
60100,24800,640,10,15.2,40,4,6150,debt_consolidation,rent,high_school,0.413,0.248,0
57100,94000,643,2,43.8,47,2,6640,debt_consolidation,rent,some_college,1.646,0.071,0
59800,35800,626,3,20.8,38,4,270,home_improvement,mortgage,high_school,0.599,0.008,1
80200,74800,622,5,29.6,68,5,4020,major_purchase,rent,bachelors,0.933,0.054,1
59900,51100,661,4,22.5,27,3,17080,debt_consolidation,mortgage,high_school,0.853,0.334,1
73500,85000,660,5,22.7,42,0,740,major_purchase,other,high_school,1.156,0.009,0
55800,65000,844,1,31.2,52,2,1240,education,rent,high_school,1.165,0.019,1
61700,7000,651,16,13.9,49,2,24780,other,mortgage,some_college,0.113,3.54,1
72000,67900,714,4,22.7,45,1,32220,education,mortgage,high_school,0.943,0.475,1
28100,93900,635,2,65.0,49,3,2060,home_improvement,rent,some_college,3.342,0.022,0
46900,81800,634,5,30.5,38,9,6270,education,mortgage,bachelors,1.744,0.077,1
43800,55700,540,6,30.3,56,0,4410,home_improvement,rent,high_school,1.272,0.079,0
40600,189000,551,21,65.0,52,2,25530,debt_consolidation,mortgage,graduate,4.655,0.135,0
47900,74500,582,13,38.1,28,4,2330,other,mortgage,bachelors,1.555,0.031,0
106200,81300,700,4,23.1,41,5,2890,debt_consolidation,mortgage,high_school,0.766,0.036,0
36700,124400,776,19,65.0,20,2,32110,debt_consolidation,rent,high_school,3.39,0.258,0
83800,77200,533,16,29.9,54,5,1210,debt_consolidation,rent,some_college,0.921,0.016,1
25400,31900,638,2,31.6,40,6,2450,home_improvement,rent,some_college,1.256,0.077,0
46600,10900,568,24,13.0,52,6,5920,home_improvement,rent,some_college,0.234,0.543,1
58300,42900,662,4,22.5,36,7,41490,major_purchase,rent,some_college,0.736,0.967,1
70500,102000,776,7,31.7,67,4,920,debt_consolidation,mortgage,bachelors,1.447,0.009,1
74600,46800,647,14,23.3,39,1,1820,debt_consolidation,mortgage,bachelors,0.627,0.039,1
77400,104900,680,1,28.7,26,7,11270,debt_consolidation,mortgage,bachelors,1.355,0.107,1
46300,66400,808,5,35.5,50,6,13980,debt_consolidation,mortgage,bachelors,1.434,0.211,1
44000,147500,723,8,65.0,60,3,6610,debt_consolidation,mortgage,high_school,3.352,0.045,1
79700,48700,620,13,14.9,35,3,4170,debt_consolidation,rent,high_school,0.611,0.086,1
49700,83100,698,6,32.7,36,9,5890,other,mortgage,bachelors,1.672,0.071,1
30500,85300,614,1,54.2,40,2,600,medical,mortgage,bachelors,2.797,0.007,1
32500,171300,720,21,65.0,25,4,5660,debt_consolidation,rent,bachelors,5.271,0.033,0
35800,18100,728,6,14.7,30,2,39140,debt_consolidation,rent,some_college,0.506,2.162,1
67800,43400,568,8,14.7,57,3,770,other,mortgage,bachelors,0.64,0.018,1
57800,108400,699,1,43.2,36,3,1640,major_purchase,rent,graduate,1.875,0.015,1
73900,176700,675,16,40.1,28,5,2820,education,rent,some_college,2.391,0.016,0
